product_id,product_name,brand_name,current_price,max_price,percent_off,variants,offers,category_name
pimprod2021555,Day SPF 30 + Night Eye Cream Duo,COOLA,22.99,46.0,0.5,,,Eye Cream
pimprod2021558,Gel Cleanser,Oh K!,3.99,8.0,0.5,,Free Gift,Skin Care
pimprod2021558,Gel Cleanser,Oh K!,3.99,8.0,0.5,,Free Gift,Cleansers
pimprod2021558,Gel Cleanser,Oh K!,3.99,8.0,0.5,,Free Gift,Face Wash
pimprod2021559,Smoothing Face Scrub,Oh K!,4.99,10.0,0.5,,Free Gift,Skin Care
pimprod2021559,Smoothing Face Scrub,Oh K!,4.99,10.0,0.5,,Free Gift,Global Skin Care
pimprod2021560,Instant Glow Gel Mask,Oh K!,3.99,8.0,0.5,,Free Gift,Skin Care
pimprod2021560,Instant Glow Gel Mask,Oh K!,3.99,8.0,0.5,,Free Gift,Treatment & Serums
pimprod2021560,Instant Glow Gel Mask,Oh K!,3.99,8.0,0.5,,Free Gift,Face Masks
pimprod2021561,Firming Eye Cream,Oh K!,5.99,12.0,0.5,,Free Gift,Skin Care
pimprod2021561,Firming Eye Cream,Oh K!,5.99,12.0,0.5,,Free Gift,Global Skin Care
pimprod2021562,Antioxidant Serum,Oh K!,7.49,15.0,0.5,,Free Gift,Skin Care
pimprod2021562,Antioxidant Serum,Oh K!,7.49,15.0,0.5,,Free Gift,Treatment & Serums
pimprod2021562,Antioxidant Serum,Oh K!,7.49,15.0,0.5,,Free Gift,Face Serums
pimprod2021564,Blemish Powder,Oh K!,3.79,15.0,0.75,,Free Gift,Skin Care
pimprod2021564,Blemish Powder,Oh K!,3.79,15.0,0.75,,Free Gift,Global Skin Care
pimprod2021569,Acne Warrior Acne Fighting Hydrogel Forehead Patch,The Crème Shop,2.49,5.0,0.5,,Free Gift,Skin Care
pimprod2021569,Acne Warrior Acne Fighting Hydrogel Forehead Patch,The Crème Shop,2.49,5.0,0.5,,Free Gift,Global Skin Care
pimprod2021574,Turn That Frown Upside Down! Hydrogel Frown Line Patches for Sensitive Skin,The Crème Shop,1.99,4.0,0.5,,Free Gift,Skin Care
pimprod2021574,Turn That Frown Upside Down! Hydrogel Frown Line Patches for Sensitive Skin,The Crème Shop,1.99,4.0,0.5,,Free Gift,Global Skin Care
pimprod2021589,Gobble Bye! Hydrogel Neck Lift Patch,The Crème Shop,2.49,5.0,0.5,,Free Gift,Skin Care
pimprod2021589,Gobble Bye! Hydrogel Neck Lift Patch,The Crème Shop,2.49,5.0,0.5,,Free Gift,Global Skin Care
pimprod2021593,Turn That Frown Upside Down! Hydrogel Frown Line Patches,The Crème Shop,1.99,4.0,0.5,,Free Gift,Skin Care
