,main_category,sub_category,sub_sub_category,name,brand,product,price,options,offers,rating,number_of_reviews,url
52,men,gifts & value sets, ,Percy Nobleman Online Only Beard Grooming Kit,Percy Nobleman,Online Only Beard Grooming Kit,20.97, , ,4.00,1,https://www.ulta.com/beard-grooming-kit?productId=xlsImpprod17231043
53,skin care,gifts & value sets, ,Philosophy Keep It Clean,Philosophy,Keep It Clean,29.97, , ,5.00,2,https://www.ulta.com/keep-it-clean?productId=pimprod2004456
54,skin care,gifts & value sets, ,Philosophy The Purity Prep Set,Philosophy,The Purity Prep Set,16.97, , ,5.00,6,https://www.ulta.com/purity-prep-set?productId=pimprod2004455
55,hair,treatment,masks,Punky Colour IntraBond Hair Repairing Complex Mask,Punky Colour,IntraBond Hair Repairing Complex Mask,14.97, , ,5.00,3,https://www.ulta.com/intrabond-hair-repairing-complex-mask?productId=pimprod2005263
56,makeup,eyes, ,Revlon ColorStay Brow Mousse,Revlon,ColorStay Brow Mousse,1.97, , ,3.90,303,https://www.ulta.com/colorstay-brow-mousse?productId=xlsImpprod16971081
57,makeup,face,concealer,Revlon PhotoReady Color Correcting Pen,Revlon,PhotoReady Color Correcting Pen,5.97, , ,4.10,398,https://www.ulta.com/photoready-color-correcting-pen?productId=xlsImpprod16971089
58,skin care,moisturizers, ,Rodial Snake Moisturiser O2 SPF 15,Rodial,Snake Moisturiser O2 SPF 15,59.97, , ,Price, ,https://www.ulta.com/snake-moisturiser-o2-spf-15?productId=xlsImpprod14851155
59,nails,nail care,nail treatments,Sally Hansen Salon Manicure Cuticle Eraser + Balm,Sally Hansen,Salon Manicure Cuticle Eraser + Balm,3.97, , ,4.30,11,https://www.ulta.com/salon-manicure-cuticle-eraser-balm?productId=xlsImpprod17821207
60,tools & brushes,accessories, ,Scünci Disney Frozen II All-Over Blue Sequins Scrunchies,Scünci,Disney Frozen II All-Over Blue Sequins Scrunchies,4.97, , ,Price, ,https://www.ulta.com/disney-frozen-ii-all-over-blue-sequins-scrunchies?productId=pimprod2009692
61,skin care,korean skin care, ,SkinRx Lab Marine Moisture Rich Cream,SkinRx Lab,Marine Moisture Rich Cream,20.97, , ,Price, ,https://www.ulta.com/marine-moisture-rich-cream?productId=xlsImpprod17791037
62,skin care,moisturizers, ,Skinfix Coconut Water Hydrating Mist,Skinfix,Coconut Water Hydrating Mist,4.97, , ,4.20,39,https://www.ulta.com/coconut-water-hydrating-mist?productId=xlsImpprod16631049
63,skin care,cleansers, ,Skinfix Energizing Micro Scrub,Skinfix,Energizing Micro Scrub,7.97, , ,4.60,16,https://www.ulta.com/energizing-micro-scrub?productId=xlsImpprod16631039
64,makeup,gifts & value sets,value sets,Smashbox Always On Liquid Lipstick Duo - Metallic,Smashbox,Always On Liquid Lipstick Duo - Metallic,14.97, , ,0.00, ,https://www.ulta.com/always-on-liquid-lipstick-duo-metallic?productId=pimprod2004878
65,makeup,lips,lipstick,Smashbox Be Legendary Liquid Lip,Smashbox,Be Legendary Liquid Lip,16.97,8 Colors, ,4.20,489,https://www.ulta.com/be-legendary-liquid-lip?productId=xlsImpprod15621021
66,makeup,face,face primer,Smashbox Photo Finish Mattify Primer Stick,Smashbox,Photo Finish Mattify Primer Stick,22.97, , ,3.90,43,https://www.ulta.com/photo-finish-mattify-primer-stick?productId=xlsImpprod16321358
67,tools & brushes,makeup brushes & tools,sponges & applicators,Stila Double Ended Blending Sponge,Stila,Double Ended Blending Sponge,8.97, , ,3.50,29,https://www.ulta.com/double-ended-blending-sponge?productId=xlsImpprod13691007
