,url,id,brand,desc,rating,number_of_reviews,sale,price,secret_sale,options,main_category,sub_category,sub_sub_category,offers,sale_price
Lottie London Slay All Day Longwear Matte Liquid Lipstick,https://www.ulta.com/slay-all-day-longwear-matte-liquid-lipstick?productId=xlsImpprod16241330,xlsImpprod16241330,Lottie London,Slay All Day Longwear Matte Liquid Lipstick,4.10,72,0,$3.97,1,3 Colors,makeup,lips,lipstick,,
Lottie London Slay All Day Longwear Metallic Liquid Lipstick,https://www.ulta.com/slay-all-day-longwear-metallic-liquid-lipstick?productId=xlsImpprod16971047,xlsImpprod16971047,Lottie London,Slay All Day Longwear Metallic Liquid Lipstick,5.00,1,0,$3.97,1,2 Colors,makeup,lips,lipstick,,
Lottie London #HOLO Duo Chrome Lip Gloss,https://www.ulta.com/holo-duo-chrome-lip-gloss?productId=xlsImpprod16971043,xlsImpprod16971043,Lottie London,#HOLO Duo Chrome Lip Gloss,4.60,33,0,$3.97,1,2 Colors,makeup,lips,lip gloss,,
Too Faced Melted Liquified Long Wear Lipstick,https://www.ulta.com/melted-liquified-long-wear-lipstick?productId=xlsImpprod6500036,xlsImpprod6500036,Too Faced,Melted Liquified Long Wear Lipstick,4.10,3518,0,$14.97,1,,makeup,lips,lipstick,,
Urban Decay Cosmetics Vice Special Effects Long-Lasting Water-Resistant Lip Topcoat,https://www.ulta.com/vice-special-effects-long-lasting-water-resistant-lip-topcoat?productId=xlsImpprod15771057,xlsImpprod15771057,Urban Decay Cosmetics,Vice Special Effects Long-Lasting Water-Resistant Lip Topcoat,3.80,293,0,$13.97,1,,makeup,lips,lip gloss,,
TPSY Absoliptly Lipstick,https://www.ulta.com/absoliptly-lipstick?productId=xlsImpprod18101177,xlsImpprod18101177,TPSY,Absoliptly Lipstick,3.00,3,0,$10.97,1,,makeup,lips,lipstick,,
NARS Multi-Use Gloss,https://www.ulta.com/multi-use-gloss?productId=pimprod2003643,pimprod2003643,NARS,Multi-Use Gloss,5.00,4,0,$18.97,1,,makeup,lips,lip gloss,,
Lipstick Queen Exact Match Lip Liner,https://www.ulta.com/exact-match-lip-liner?productId=xlsImpprod5120079,xlsImpprod5120079,Lipstick Queen,Exact Match Lip Liner,4.50,86,0,$12.97,1,,makeup,lips,lip liner,,
NARS Orgasm Lipstick,https://www.ulta.com/orgasm-lipstick?productId=prod16261023,prod16261023,NARS,Orgasm Lipstick,3.90,90,0,$19.97,1,,makeup,lips,lipstick,,
Lipstick Queen Lipstick Chess,https://www.ulta.com/lipstick-chess?productId=xlsImpprod15481145,xlsImpprod15481145,Lipstick Queen,Lipstick Chess,4.50,60,0,$16.97,1,2 Colors,makeup,lips,lipstick,,
Smashbox Always On Liquid Lipstick Duo - Metallic,https://www.ulta.com/always-on-liquid-lipstick-duo-metallic?productId=pimprod2004878,pimprod2004878,Smashbox,Always On Liquid Lipstick Duo - Metallic,0.00,,0,$14.97,1,,makeup,gifts & value sets,value sets,,
Stila Double Ended Blending Sponge,https://www.ulta.com/double-ended-blending-sponge?productId=xlsImpprod13691007,xlsImpprod13691007,Stila,Double Ended Blending Sponge,3.50,29,0,$8.97,1,,tools & brushes,makeup brushes & tools,sponges & applicators,,
Tartan + Twine Disney Frozen II Olaf Weekender,https://www.ulta.com/disney-frozen-ii-olaf-weekender?productId=pimprod2010914,pimprod2010914,Tartan + Twine,Disney Frozen II Olaf Weekender,0.00,,0,$16.97,1,,makeup,makeup bags & cases, ,,
Tartan + Twine Deluxe Weekender,https://www.ulta.com/deluxe-weekender?productId=pimprod2009218,pimprod2009218,Tartan + Twine,Deluxe Weekender,5.00,4,0,$28.97,1,,makeup,makeup bags & cases, ,,
Tartan + Twine Metallic Duo Zip Beauty Clutch,https://www.ulta.com/metallic-duo-zip-beauty-clutch?productId=pimprod2003894,pimprod2003894,Tartan + Twine,Metallic Duo Zip Beauty Clutch,5.00,4,0,$7.97,1,,makeup,makeup bags & cases, ,,
Tartan + Twine Medium Clutch,https://www.ulta.com/medium-clutch?productId=pimprod2009246,pimprod2009246,Tartan + Twine,Medium Clutch,Price,,0,$14.97,1,,makeup,makeup bags & cases, ,,
Tartan + Twine Frozen 2 Pc. Train Case Set - Snowflake,https://www.ulta.com/frozen-2-pc-train-case-set-snowflake?productId=pimprod2010319,pimprod2010319,Tartan + Twine,Frozen 2 Pc. Train Case Set - Snowflake,3.50,2,0,$15.97,1,,makeup,makeup bags & cases, ,,
Young Nails Caption Nail Polish,https://www.ulta.com/caption-nail-polish?productId=xlsImpprod17531221,xlsImpprod17531221,Young Nails,Caption Nail Polish,3.90,7,0,$4.97,1,,nails,nail polish, ,,
Sally Hansen Salon Manicure Cuticle Eraser + Balm,https://www.ulta.com/salon-manicure-cuticle-eraser-balm?productId=xlsImpprod17821207,xlsImpprod17821207,Sally Hansen,Salon Manicure Cuticle Eraser + Balm,4.30,11,0,$3.97,1,,nails,nail care,nail treatments,,
Skinfix Energizing Micro Scrub,https://www.ulta.com/energizing-micro-scrub?productId=xlsImpprod16631039,xlsImpprod16631039,Skinfix,Energizing Micro Scrub,4.60,16,0,$7.97,1,,skin care,cleansers,exfoliators & scrubs,,
Skinfix Coconut Water Hydrating Mist,https://www.ulta.com/coconut-water-hydrating-mist?productId=xlsImpprod16631049,xlsImpprod16631049,Skinfix,Coconut Water Hydrating Mist,4.20,39,0,$4.97,1,,skin care,moisturizers,face mist,,
SkinRx Lab Marine Moisture Rich Cream,https://www.ulta.com/marine-moisture-rich-cream?productId=xlsImpprod17791037,xlsImpprod17791037,SkinRx Lab,Marine Moisture Rich Cream,Price,,0,$20.97,1,,skin care,korean skin care, ,,
Rodial Snake Moisturiser O2 SPF 15,https://www.ulta.com/snake-moisturiser-o2-spf-15?productId=xlsImpprod14851155,xlsImpprod14851155,Rodial,Snake Moisturiser O2 SPF 15,Price,,0,$59.97,1,,skin care,moisturizers,face moisturizer,,
Urban Decay Cosmetics Rehab Makeup Prep Hot Springs Hydrating Gel,https://www.ulta.com/rehab-makeup-prep-hot-springs-hydrating-gel?productId=xlsImpprod15771047,xlsImpprod15771047,Urban Decay Cosmetics,Rehab Makeup Prep Hot Springs Hydrating Gel,4.60,116,0,$19.97,1,,skin care,moisturizers,face moisturizer,,
First Aid Beauty Facial Radiance Illuminating Moisturizer,https://www.ulta.com/facial-radiance-illuminating-moisturizer?productId=xlsImpprod15001031,xlsImpprod15001031,First Aid Beauty,Facial Radiance Illuminating Moisturizer,2.80,9,0,$16.97,1,,skin care,moisturizers,face moisturizer,,
Nuface Hydrating Leave-On Gel Primer,https://www.ulta.com/hydrating-leave-on-gel-primer?productId=xlsImpprod17231081,xlsImpprod17231081,Nuface,Hydrating Leave-On Gel Primer,4.30,47,0,$6.97 - $48.00,1,3 Sizes,skin care,treatment & serums,face serums,,
Wish Formula I'm Pro Ampoule Pad - C,https://www.ulta.com/im-pro-ampoule-pad-c?productId=xlsImpprod17991027,xlsImpprod17991027,Wish Formula,I'm Pro Ampoule Pad - C,Price,,0,$15.97,1,,skin care,treatment & serums,face serums,,
 The Glow Molecule,https://www.ulta.com/glow-molecule?productId=xlsImpprod14121189,xlsImpprod14121189,,The Glow Molecule,4.00,1,0,$24.97,1,,skin care,supplements, ,,
First Aid Beauty Ultra Repair Cream Minis Original & Vanilla Citron,https://www.ulta.com/ultra-repair-cream-minis-original-vanilla-citron?productId=xlsImpprod15001037,xlsImpprod15001037,First Aid Beauty,Ultra Repair Cream Minis Original & Vanilla Citron,4.60,85,0,$9.97,1,,skin care,gifts & value sets, ,,
Philosophy Keep It Clean,https://www.ulta.com/keep-it-clean?productId=pimprod2004456,pimprod2004456,Philosophy,Keep It Clean,5.00,2,0,$29.97,1,,skin care,gifts & value sets, ,,
Philosophy The Purity Prep Set,https://www.ulta.com/purity-prep-set?productId=pimprod2004455,pimprod2004455,Philosophy,The Purity Prep Set,5.00,6,0,$16.97,1,,skin care,gifts & value sets, ,,
Nexxus Dry Shampoo Refreshing Mist,https://www.ulta.com/dry-shampoo-refreshing-mist?productId=xlsImpprod16971001,xlsImpprod16971001,Nexxus,Dry Shampoo Refreshing Mist,4.00,41,0,$6.97,1,,hair,shampoo & conditioner,dry shampoo,,
Kyn. Style Kit,https://www.ulta.com/style-kit?productId=pimprod2005095,pimprod2005095,Kyn.,Style Kit,1.50,8,0,$7.97,1,,hair,gifts & value sets, ,,
