ratings_and_offers_id,product_id,url,price,options,price_str,mult_sizes
82,pimprod2003974,https://www.ulta.com/flash-flush-powder-blush?productId=pimprod2003974,$24.00,4 Colors,$24.00,False
83,636,https://www.ulta.com/classic-color-blush?productId=636,$7.99,,$7.99,False
84,pimprod2008558,https://www.ulta.com/bio-bronzer-powder?productId=pimprod2008558,$21.99,,$21.99,False
85,pimprod2016915,https://www.ulta.com/coconut-primer?productId=pimprod2016915,$9.95,,$9.95,False
86,pimprod2004121,https://www.ulta.com/balance-hydration-spray?productId=pimprod2004121,$33.00,,$33.00,False
87,pimprod2004376,https://www.ulta.com/whipped-cream-primer?productId=pimprod2004376,$20.00,,$20.00,False
88,xlsImpprod15401069,https://www.ulta.com/get-a-grip-endurance-eyeshadow-primer?productId=xlsImpprod15401069,$20.00,,$20.00,False
89,pimprod2000980,https://www.ulta.com/radiant-powder-highlighter?productId=pimprod2000980,$22.00,3 Colors,$15.40,False
90,pimprod2008594,https://www.ulta.com/rodeo-drive-anniversary-face-body-mist?productId=pimprod2008594,$25.00,,$25.00,False
91,pimprod2016781,https://www.ulta.com/sculpt-squad-contouring-palette?productId=pimprod2016781,$12.00,,$12.00,False
92,pimprod2009906,https://www.ulta.com/banana-split-radiance-primer?productId=pimprod2009906,$8.00,,$8.00,False
93,pimprod2015524,https://www.ulta.com/cbd-glass-glow-highlighter?productId=pimprod2015524,$28.00,,$28.00,False
94,xlsImpprod17721245,https://www.ulta.com/waterproof-makeup-remover?productId=xlsImpprod17721245,$5.99,,$5.99,False
95,xlsImpprod17071445,https://www.ulta.com/illuminate-primer-highlighter?productId=xlsImpprod17071445,$35.00,3 Colors,$35.00,False
96,pimprod2015260,https://www.ulta.com/california-beamin-face-body-liquid-highlighter?productId=pimprod2015260,$10.00,2 Colors,$10.00,False
97,pimprod2017207,https://www.ulta.com/travel-size-brightening-lavender-face-primer?productId=pimprod2017207,$6.00,,$6.00,False
98,pimprod2009369,https://www.ulta.com/velvet-blur-primer?productId=pimprod2009369,$32.00,,$32.00,False
99,pimprod2014197,https://www.ulta.com/anti-pollution-primer?productId=pimprod2014197,$39.00,,$39.00,False
100,pimprod2018009,https://www.ulta.com/travel-size-lash-clean-oil-free-makeup-remover?productId=pimprod2018009,$13.00,,$13.00,False
101,xlsImpprod17951079,https://www.ulta.com/travel-size-charm-holographic-highlighter?productId=xlsImpprod17951079,$10.00,,$10.00,False
102,pimprod2004109,https://www.ulta.com/lemongrass-love-hydration-spray?productId=pimprod2004109,$33.00,,$33.00,False
103,xlsImpprod12011175,https://www.ulta.com/hd-studio-photogenic-primer-base?productId=xlsImpprod12011175,$17.00,,$17.00,False
104,xlsImpprod15091013,https://www.ulta.com/outlast-all-day-matte-finishing-powder?productId=xlsImpprod15091013,$6.49,,$6.49,False
105,pimprod2006704,https://www.ulta.com/rays-of-light-bronzing-primer?productId=pimprod2006704,$20.00,,$20.00,False
106,xlsImpprod14251035,https://www.ulta.com/shape-tape-concealer?productId=xlsImpprod14251035,$27.00,30 Colors,$27.00,False
107,xlsImpprod15251325,https://www.ulta.com/radiant-creamy-concealer?productId=xlsImpprod15251325,$30.00,30 Colors,$30.00,False
108,xlsImpprod17591091,https://www.ulta.com/healthy-foundation-spf-20?productId=xlsImpprod17591091,$15.99,4 Colors,$15.99,False
109,pimprod2016780,https://www.ulta.com/glow-squad-highlighter-palette?productId=pimprod2016780,$12.00,,$12.00,False
110,xlsImpprod5770259,https://www.ulta.com/bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer?productId=xlsImpprod5770259,$27.00,44 Colors,$27.00,False
111,xlsImpprod18631033,https://www.ulta.com/born-this-way-super-coverage-multi-use-sculpting-concealer?productId=xlsImpprod18631033,$30.00,35 Colors,$30.00,False
112,pimprod2005671,https://www.ulta.com/4-in-1-love-your-selfie-longwear-foundation-concealer?productId=pimprod2005671,$25.20 - $36.00,40 Colors,$25.20 - $36.00,False
113,pimprod2009198,https://www.ulta.com/travel-size-shape-tape-concealer?productId=pimprod2009198,$10.00,30 Colors,$10.00,False
114,xlsImpprod12021005,https://www.ulta.com/beyond-perfecting-foundation-concealer?productId=xlsImpprod12021005,$31.00,40 Colors,$31.00,False
115,pimprod2017443,https://www.ulta.com/even-better-all-over-concealer-eraser?productId=pimprod2017443,$26.00,41 Colors,$26.00,False
116,xlsImpprod3280315,https://www.ulta.com/studio-perfect-primer-in-lavender?productId=xlsImpprod3280315,$13.00,,$13.00,False
117,pimprod2011646,https://www.ulta.com/mineral-primer?productId=pimprod2011646,$15.99,,$15.99,False
118,pimprod2005694,https://www.ulta.com/extra-matte-shine-control-primer?productId=pimprod2005694,$42.00,,$42.00,False
