url_pkey,url,main_category,sub_category,sub_sub_category
22,https://www.ulta.com/makeup-eyes-eyeshadow-palettes?N=26ye&No=500&Nrpp=500,makeup,eyes,eyeshadow palettes
23,https://www.ulta.com/makeup-eyes-mascara?N=26yg&No=0&Nrpp=500,makeup,eyes,mascara
24,https://www.ulta.com/makeup-eyes-eyeliner?N=26yh&No=0&Nrpp=500,makeup,eyes,eyeliner
25,https://www.ulta.com/makeup-eyes-eyebrows?N=26yi&No=0&Nrpp=500,makeup,eyes,eyebrows
26,https://www.ulta.com/makeup-eyes-eyeshadow?N=26yf&No=0&Nrpp=500,makeup,eyes,eyeshadow
27,https://www.ulta.com/makeup-eyes-eyeshadow?N=26yf&No=500&Nrpp=500,makeup,eyes,eyeshadow
28,https://www.ulta.com/makeup-eye-primer-base?N=26yl&No=0&Nrpp=500,makeup,eyes,eye primer & base
29,https://www.ulta.com/makeup-eyes-eyelashes?N=26yj&No=0&Nrpp=500,makeup,eyes,eyelashes
30,https://www.ulta.com/makeup-eyes-lash-primer-serums?N=jllzia&No=0&Nrpp=500,makeup,eyes,lash primer & serums
31,https://www.ulta.com/makeup-eye-makeup-remover?N=26yk&No=0&Nrpp=500,makeup,eyes,eye makeup remover
32,https://www.ulta.com/makeup-lips?N=26yq&No=0&Nrpp=500,makeup,lips, 
33,https://www.ulta.com/makeup-lips?N=26yq&No=500&Nrpp=500,makeup,lips, 
34,https://www.ulta.com/makeup-lips-lipstick?N=26ys&No=0&Nrpp=500,makeup,lips,lipstick
35,https://www.ulta.com/makeup-lip-gloss?N=26yt&No=0&Nrpp=500,makeup,lips,lip gloss
36,https://www.ulta.com/makeup-lip-liner?N=26yv&No=0&Nrpp=500,makeup,lips,lip liner
37,https://www.ulta.com/makeup-lip-stain?N=26yu&No=0&Nrpp=500,makeup,lips,lip stain
38,https://www.ulta.com/makeup-lips-treatments-balms?N=26yw&No=0&Nrpp=500,makeup,lips,treatments & balms
39,https://www.ulta.com/makeup-lips-sets-palettes?N=26yr&No=0&Nrpp=500,makeup,lips,sets & palettes
40,https://www.ulta.com/tools-brushes-makeup-brushes-tools?N=27hn&No=0&Nrpp=500,tools & brushes,makeup brushes & tools, 
41,https://www.ulta.com/tools-brushes-makeup-brushes-tools?N=27hn&No=500&Nrpp=500,tools & brushes,makeup brushes & tools, 
42,https://www.ulta.com/tools-brushes-makeup-brushes-tools-brush-sets?N=27ho&No=0&Nrpp=500,tools & brushes,makeup brushes & tools,brush sets
43,https://www.ulta.com/tools-brushes-makeup-brushes-tools-makeup-brushes?N=27hp&No=0&Nrpp=500,tools & brushes,makeup brushes & tools,makeup brushes
44,https://www.ulta.com/tools-brushes-makeup-brushes-tools-sponges-applicators?N=27hq&No=0&Nrpp=500,tools & brushes,makeup brushes & tools,sponges & applicators
45,https://www.ulta.com/tools-brushes-makeup-brushes-tools-brush-cleaner?N=27hr&No=0&Nrpp=500,tools & brushes,makeup brushes & tools,brush cleaner
46,https://www.ulta.com/tools-brushes-makeup-brushes-tools-brow-lash-tools?N=27hs&No=0&Nrpp=500,tools & brushes,makeup brushes & tools,brow & lash tools
47,https://www.ulta.com/tools-brushes-makeup-brushes-tools-mirrors?N=27ht&No=0&Nrpp=500,tools & brushes,makeup brushes & tools,mirrors
48,https://www.ulta.com/tools-brushes-makeup-brushes-tools-sharpeners?N=27hu&No=0&Nrpp=500,tools & brushes,makeup brushes & tools,sharpeners
49,https://www.ulta.com/makeup-bags-cases?N=26zp&No=0&Nrpp=500,makeup,makeup bags & cases, 
50,https://www.ulta.com/makeup-ulta-collection?N=26zi&No=0&Nrpp=500,makeup,ulta collection, 
51,https://www.ulta.com/makeup-travel-size?N=2782&No=0&Nrpp=500,makeup,travel size, 
52,https://www.ulta.com/makeup-gifts-value-sets?N=26zo&No=0&Nrpp=500,makeup,gifts & value sets, 
53,https://www.ulta.com/makeup-gifts-value-sets?N=26zo&No=500&Nrpp=500,makeup,gifts & value sets, 
54,https://www.ulta.com/makeup-gifts-value-sets-makeup-palettes?N=27i1&No=0&Nrpp=500,makeup,gifts & value sets,makeup palettes
55,https://www.ulta.com/makeup-gifts-value-sets-makeup-palettes?N=27i1&No=500&Nrpp=500,makeup,gifts & value sets,makeup palettes
56,https://www.ulta.com/makeup-gifts-value-sets-value-sets?N=27i2&No=0&Nrpp=500,makeup,gifts & value sets,value sets
57,https://www.ulta.com/nail-polish?N=278s&No=0&Nrpp=500,nails,nail polish, 
58,https://www.ulta.com/gel-nail-polish?N=278j&No=0&Nrpp=500,nails,gel nail polish, 
59,https://www.ulta.com/nails-top-base-coats?N=27iq&No=0&Nrpp=500,nails,top & base coats, 
60,https://www.ulta.com/nail-polish-stickers?N=y5vfsk&No=0&Nrpp=500,nails,nail polish stickers, 
61,https://www.ulta.com/press-on-nails?N=lrb2l2&No=0&Nrpp=500,nails,press on nails, 
62,https://www.ulta.com/nail-art-design?N=27br&No=0&Nrpp=500,nails,nail art & design, 
63,https://www.ulta.com/nail-care?N=27bs&No=0&Nrpp=500,nails,nail care, 
64,https://www.ulta.com/nail-care-removers?N=27bt&No=0&Nrpp=500,nails,nail care,removers
65,https://www.ulta.com/nail-care-cuticle-care?N=27bv&No=0&Nrpp=500,nails,nail care,cuticle care
66,https://www.ulta.com/nail-care-nail-treatments?N=27bw&No=0&Nrpp=500,nails,nail care,nail treatments
67,https://www.ulta.com/nails-manicure-pedicure-tools?N=27ir&No=0&Nrpp=500,bath & body,hand & foot care,manicure & pedicure tools
68,https://www.ulta.com/nails-gifts-value-sets?N=27c1&No=0&Nrpp=500,nails,gifts & value sets, 
69,https://www.ulta.com/nails-ulta-collection?N=27c5&No=0&Nrpp=500,nails,ulta collection, 
70,https://www.ulta.com/skin-care-cleansers?N=2794&No=0&Nrpp=500,skin care,cleansers, 
71,https://www.ulta.com/skin-care-cleansers?N=2794&No=500&Nrpp=500,skin care,cleansers, 
72,https://www.ulta.com/skin-care-cleansers?N=2794&No=1000&Nrpp=500,skin care,cleansers, 
73,https://www.ulta.com/skin-care-cleansers-face-wash?N=27gs&No=0&Nrpp=500,skin care,cleansers,face wash
74,https://www.ulta.com/skin-care-cleansers-cleansing-oils?N=27gt&No=0&Nrpp=500,skin care,cleansers,cleansing oils
75,https://www.ulta.com/skin-care-cleansers-cleansing-wipes?N=27gu&No=0&Nrpp=500,skin care,cleansers,cleansing wipes
76,https://www.ulta.com/skin-care-cleansers-exfoliators-scrubs?N=27gv&No=0&Nrpp=500,skin care,cleansers,exfoliators & scrubs
77,https://www.ulta.com/skin-care-cleansers-toner?N=27gw&No=0&Nrpp=500,skin care,cleansers,toner
78,https://www.ulta.com/skin-care-tools-cleansing-brushes?N=27hw&No=0&Nrpp=500,tools & brushes,skincare tools,cleansing brushes
79,https://www.ulta.com/skin-care-moisturizers?N=2796&No=0&Nrpp=500,skin care,moisturizers, 
80,https://www.ulta.com/skin-care-moisturizers?N=2796&No=500&Nrpp=500,skin care,moisturizers, 
81,https://www.ulta.com/skin-care-moisturizers?N=2796&No=1000&Nrpp=500,skin care,moisturizers, 
82,https://www.ulta.com/skin-care-face-moisturizer?N=27h9&No=0&Nrpp=500,skin care,moisturizers,face moisturizer
83,https://www.ulta.com/skin-care-face-moisturizer?N=27h9&No=500&Nrpp=500,skin care,moisturizers,face moisturizer
84,https://www.ulta.com/skin-care-moisturizers-night-cream?N=27ha&No=0&Nrpp=500,skin care,moisturizers,night cream
85,https://www.ulta.com/skin-care-moisturizers-face-oil?N=27hb&No=0&Nrpp=500,skin care,moisturizers,face oil
