product_id,price,options,sku_id,brand,product,url,rating,no_of_reviews,offers,main_category,sub_category,sub_sub_category,old_price,age,percent_off
xlsImpprod15571069,2.5,"Greige Days, #nofilter (light grey crème)",2290954,Red Carpet Manicure,"Black, Grey & White LED Gel Nail Polish Collection",https://www.ulta.com/p/black-grey-white-led-gel-nail-polish-collection-xlsImpprod15571069,3.20,55,,nails,gel nail polish, ,$9.99,old,0.7497
xlsImpprod10991395,2.5,Plush Blush,2510374,Sally Hansen,Miracle Gel,https://www.ulta.com/p/miracle-gel-xlsImpprod10991395,4.20,17712,,nails,nail polish, ,$9.99,old,0.7497
xlsImpprod15571091,2.5,Forever Fearless (purple crème),2505678,Red Carpet Manicure,Color Dip Purple Nail Powder,https://www.ulta.com/p/color-dip-purple-nail-powder-xlsImpprod15571091,4.30,36,,nails,nail polish, ,$9.99,old,0.7497
xlsImpprod17821157,2.5,Skirting Around (Taupe Crème),2524523,Red Carpet Manicure,Style Blooms LED Gel Nail Polish Collection,https://www.ulta.com/p/style-blooms-led-gel-nail-polish-collection-xlsImpprod17821157,3.20,36,,nails,nail polish, ,$9.99,old,0.7497
pimprod2024101,7.0,Oh Damn (rich burgundy),2580954,Juvia's Place,The Berries Velvety Matte Lipstick,https://www.ulta.com/p/berries-velvety-matte-lipstick-pimprod2024101,3.80,6,,makeup,lips, ,$14.00,old,0.5
pimprod2023954,6.0,"So Glazed, Lit From Within, Soft Glam, Luminous, Ring Light",2577215,Makeup Revolution,Glow Splendour Highlighter,https://www.ulta.com/p/glow-splendour-highlighter-pimprod2023954,3.20,11,,makeup,face, ,$12.00,old,0.5
pimprod2025129,1.75,Extra Frosting (pastel butter yellow),2581498,ColourPop,Limoncello Creme Gel Eyeliner,https://www.ulta.com/p/limoncello-creme-gel-eyeliner-pimprod2025129,4.10,15,,makeup,eyes, ,$3.50,old,0.5
pimprod2025887,2.25,"Scorched Rose (fair to medium skin tones), Peach Heat (medium to dark skin tones)",2580696,Makeup Revolution,Neon Heat Dynamic Face Palette,https://www.ulta.com/p/neon-heat-dynamic-face-palette-pimprod2025887,3.50,2,,makeup,makeup palettes, ,$4.49,old,0.4989
xlsImpprod15361203,2.25,"Wine Not, Mauve Mantra, La Vie En Rose, Give Me a Tint",2573780,Sally Hansen,Color Therapy Nail Polish,https://www.ulta.com/p/color-therapy-nail-polish-xlsImpprod15361203,4.40,1327,,nails,nail polish, ,$8.99,old,0.7497
pimprod2029489,5.0,"Teddy Berry, Rebel Red",2589118,NYX Professional Makeup,Money Heist (La Casa de Papel) Paper Lipstick,https://www.ulta.com/p/money-heist-la-casa-de-papel-paper-lipstick-pimprod2029489,4.10,9,Free Gift with Purchase!,makeup,lips, ,$10.00,old,0.5
pimprod2029361,0.99,Nude,2584195,Sweet & Shimmer,Swirl Gloss,https://www.ulta.com/p/swirl-gloss-pimprod2029361,5.00,2,,makeup,lips, ,$2.99,old,0.6689
pimprod2030142,19.0,"Come Over - Matte (nude pink), Spill The Tea - Amplified Crème (warm pinky nude with yellow undertones), Sweet Deal - Matte (midtone nudey pink), So You - Amplified Crème (midtone pink with blue undertones), Get The Hint - Matte (warm rose)",2589769,MAC,Re-Think Pink Lipstick,https://www.ulta.com/p/re-think-pink-lipstick-pimprod2030142,0.0,,,makeup,lips, ,$22.00,old,0.1364
xlsImpprod13251339,13.47,33.8 oz,2295259,Hempz,Pomegranate Daily Herbal Moisturizing Shampoo,https://www.ulta.com/p/pomegranate-daily-herbal-moisturizing-shampoo-xlsImpprod13251339,4.00,78,,hair,shampoo & conditioner,shampoo,$26.99,new,0.5009
xlsImpprod13251341,13.47,33.8 oz,2295625,Hempz,Pomegranate Daily Herbal Moisturizing Conditioner,https://www.ulta.com/p/pomegranate-daily-herbal-moisturizing-conditioner-xlsImpprod13251341,4.30,52,,hair,shampoo & conditioner,conditioner,$26.99,new,0.5009
xlsImpprod13641053,49.5,2.0 oz,2298658,It Cosmetics,Confidence In A Cream Anti-Aging Moisturizer,https://www.ulta.com/p/confidence-in-a-cream-anti-aging-moisturizer-xlsImpprod13641053,4.50,4341,Free Gift with Purchase!,skin care,moisturizers,face moisturizer,$49.50 - $75.00,new,
xlsImpprod14541123,2.97,Caramel (deep-tan w/ neutral undertones - online only),2538892,e.l.f. Cosmetics,Flawless Finish Foundation,https://www.ulta.com/p/flawless-finish-foundation-xlsImpprod14541123,4.00,2429,,makeup,face, ,$6.00,old,0.505
xlsImpprod16111030,99.0,Black,2551075,PMD,Kiss Lip Plumping System,https://www.ulta.com/p/kiss-lip-plumping-system-xlsImpprod16111030,3.90,58,Free Gift with Purchase!,tools & brushes,skincare tools, ,$139.00,old,0.2878
xlsImpprod16411277,23.8,Deep,2514600,It Cosmetics,Bye Bye Breakout Full-Coverage Concealer,https://www.ulta.com/p/bye-bye-breakout-full-coverage-concealer-xlsImpprod16411277,4.00,383,Free Gift with Purchase!,skin care,treatment & serums, ,$34.00,old,0.3
xlsImpprod15921176,13.3,Dangerous (orangey red matte),2510441,MAC,Lipstick Matte,https://www.ulta.com/p/lipstick-matte-xlsImpprod15921176,4.50,1699,,makeup,lips, ,$19.00,old,0.3
xlsImpprod17421245,19.6,"Celestial (glistening pearl shimmer), Bronze (rosy, burnished bronze), Mercury (silver), Soleil (shimmering peachy pink), Gilded (warm yellow gold), Ember (true red), Halo (holographic, multi-dimension shimmer)",2535116,COVER FX,Shimmer Veil,https://www.ulta.com/p/shimmer-veil-xlsImpprod17421245,4.70,75,,makeup,face, ,$28.00,old,0.3
xlsImpprod17691281,18.2,392 Grand Cru (creamy dark purple),2524129,Lancôme,L'Absolu Gloss,https://www.ulta.com/p/labsolu-gloss-xlsImpprod17691281,4.50,65,Free Gift with Purchase!,makeup,lips, ,$27.00,old,0.3259
xlsImpprod18091271,3.97,Dark Brown,2301620,Toppik,Travel Size Hair Building Fibers,https://www.ulta.com/p/travel-size-hair-building-fibers-xlsImpprod18091271,4.50,1391,,hair,travel size, ,$7.95,old,0.5006
xlsImpprod17841003,21.0,Tawny (terracotta brown),2523787,Anastasia Beverly Hills,Powder Bronzer,https://www.ulta.com/p/powder-bronzer-xlsImpprod17841003,4.50,137,Free Gift with Purchase!,makeup,face, ,$28.00,old,0.25
xlsImpprod18121011,20.97,Rosemantic (soft rust w/ gold pearl),2526297,Smashbox,Smashbox + Vlada Petal Metal Highlighter,https://www.ulta.com/p/smashbox-vlada-petal-metal-highlighter-xlsImpprod18121011,3.90,61,,makeup,face,highlighter,$20.97,old,
xlsImpprod17871157,7.47,"Pinktabulous (pink), Blumania (blue), Redilicious (red), Blondetastic (blonde)",2523772,Punky Colour,3-in-1 Color Depositing Shampoo + Conditioner,https://www.ulta.com/p/3-in-1-color-depositing-shampoo-conditioner-xlsImpprod17871157,3.60,673,,hair,shampoo & conditioner,conditioner,$14.99,old,0.5017
xlsImpprod18241005,97.3,"Aquamarine, Pearl Pink",2526867,Foreo,LUNA Mini 2,https://www.ulta.com/p/luna-mini-2-xlsImpprod18241005,4.80,753,Free Gift with Purchase!,tools & brushes,skincare tools, ,$119.00,old,0.1824
xlsImpprod17601135,2.13,"Ghosted (white pearl), Showgirl (bright coral cream), Steel The Show (medium cool gray cream), Sunset Bronze (soft pink-purple pearl), Hot & Fresh (deep brown cream), Heat Warning (neon coral cream), Hot Toddy (copper shimmer), I Love You A Latte (soft tan cream), Rosé All Day (medium nude-pink cream), Saturdaze (soft lilac cream), Girl Boss (medium pink cream), N.G.L. (neon purple cream), Oil Slick (deep blue-green shimmer), Facts (bright blue shimmer)",2519633,ULTA,Gel Shine Nail Lacquer,https://www.ulta.com/p/gel-shine-nail-lacquer-xlsImpprod17601135,3.30,134,,nails,ulta collection, ,$8.50,old,0.7494
xlsImpprod4060035,5.25,Spectacle (bright orange cream),2511066,Smashbox,Be Legendary Cream Lipstick,https://www.ulta.com/p/be-legendary-cream-lipstick-xlsImpprod4060035,4.40,1435,,makeup,lips,lipstick,$21.00,old,0.75
xlsImpprod3590081,3.8,"4.35 (deep w/ cool undertone), 4.5 (very deep w/ warm undertone), 4.6 (very deep w/ cool undertone)",2531512,Smashbox,Studio Skin 24 Hour Oil-Free Hydra Foundation,https://www.ulta.com/p/studio-skin-24-hour-oil-free-hydra-foundation-xlsImpprod3590081,4.30,3497,Online Only Purchase a Smashbox Studio Skin Foundation and get a Photo Finish Prime and Set Duet (sku 2568967) for $5 (offer valid thru 7/31/22)!,makeup,face, ,$39.00,old,0.9026
xlsImpprod1950037,1.5,"Gold Play, Silver Stallion, Va Va Violet",2517447,Sally Hansen,Insta Dri Nail Color,https://www.ulta.com/p/insta-dri-nail-color-xlsImpprod1950037,4.30,10616,,nails,nail polish, ,$5.99,old,0.7496
