ulta_id,product_id,main_category,sub_category,sub_sub_category,brand,product,url
3285,pimprod2008730,makeup,eyes, ,Sleek MakeUP,Lifeproof 12 Hour Wear Kohl Eyeliner,https://www.ulta.com/lifeproof-12-hour-wear-kohl-eyeliner?productId=pimprod2008730
3286,xlsImpprod1910047,makeup,eyes, ,Essence,Eyeliner Pen,https://www.ulta.com/eyeliner-pen?productId=xlsImpprod1910047
3287,pimprod2008805,makeup,eyes, ,Burt's Bees,Defining Eyeliner,https://www.ulta.com/defining-eyeliner?productId=pimprod2008805
3288,pimprod2015188,makeup,eyes, ,NABLA,Cupid's Arrow Longwear Stylo,https://www.ulta.com/cupids-arrow-longwear-stylo?productId=pimprod2015188
3289,xlsImpprod16211153,makeup,eyes, ,Maybelline,Curvitude Liner,https://www.ulta.com/curvitude-liner?productId=xlsImpprod16211153
3290,pimprod2009100,makeup,eyes, ,Makeup Revolution,Amazing Waterproof Liquid Eyeliner,https://www.ulta.com/amazing-waterproof-liquid-eyeliner?productId=pimprod2009100
3291,xlsImpprod14041015,makeup,eyes, ,J.Cat Beauty,Roll It Up Auto Eyeliner,https://www.ulta.com/roll-it-up-auto-eyeliner?productId=xlsImpprod14041015
3292,xlsImpprod16501087,makeup,eyes, ,Essence,Eyeliner Pen Longlasting,https://www.ulta.com/eyeliner-pen-longlasting?productId=xlsImpprod16501087
3293,pimprod2014518,makeup,eyes, ,Au Naturale,Swipe-On Essential Eye Pencil,https://www.ulta.com/swipe-on-essential-eye-pencil?productId=pimprod2014518
3294,pimprod2013537,makeup,eyes, ,Morphe,Liquid Eye Makeup Remover,https://www.ulta.com/liquid-eye-makeup-remover?productId=pimprod2013537
3295,prod5041252,makeup,eyes, ,L'Oréal,Refreshing Eye Make-Up Remover,https://www.ulta.com/refreshing-eye-make-up-remover?productId=prod5041252
3296,xlsImpprod11591259,makeup,eyes, ,Clarins,Instant Eye Makeup Remover,https://www.ulta.com/instant-eye-makeup-remover?productId=xlsImpprod11591259
3297,xlsImpprod5000021,makeup,eyes, ,Elizabeth Arden,PREVAGE Clinical Lash + Brow Enhancing Serum,https://www.ulta.com/prevage-clinical-lash-brow-enhancing-serum?productId=xlsImpprod5000021
3298,pimprod2006761,makeup,eyes, ,Peter Thomas Roth,Lashes to Die For Turbo Conditioning Lash Enhancer,https://www.ulta.com/lashes-die-turbo-conditioning-lash-enhancer?productId=pimprod2006761
3299,pimprod2000224,makeup,eyes, ,Rapidlash,RapidShield Eyelash Daily Conditioner,https://www.ulta.com/rapidshield-eyelash-daily-conditioner?productId=pimprod2000224
3300,pimprod2008529,makeup,eyes, ,Milani,The Violet One Lash Primer,https://www.ulta.com/violet-one-lash-primer?productId=pimprod2008529
3301,pimprod2016412,makeup,eyes, ,Maybelline,The Falsies Lash Mask Eyelash Conditioner,https://www.ulta.com/falsies-lash-mask-eyelash-conditioner?productId=pimprod2016412
3302,pimprod2001109,makeup,ulta collection, ,ULTA,Glitter Cream Eyeshadow,https://www.ulta.com/glitter-cream-eyeshadow?productId=pimprod2001109
3303,xlsImpprod18351195,makeup,gifts & value sets,makeup palettes,Maybelline,The City Mini Palette Matte About Town,https://www.ulta.com/city-mini-palette-matte-about-town?productId=xlsImpprod18351195
3304,pimprod2013501,makeup,eyes,eyeshadow,Pixi,Liquid Fairy Lights,https://www.ulta.com/liquid-fairy-lights?productId=pimprod2013501
