ulta_id,product_id,main_category,sub_category,sub_sub_category,brand,product,url
1023,pimprod2011717,hair,styling products, ,BLONDME,Instant Blush Blonde Beautifier,https://www.ulta.com/instant-blush-blonde-beautifier?productId=pimprod2011717
1024,pimprod2014442,hair,styling products, ,Sexy Hair,Travel Size Big Sexy Hair Spray & Play Harder Firm Volumizing Hairspray,https://www.ulta.com/travel-size-big-sexy-hair-spray-play-harder-firm-volumizing-hairspray?productId=pimprod2014442
1025,pimprod2016690,hair,styling products, ,Kenra Professional,Platinum Dry Setting Spray 15/20,https://www.ulta.com/platinum-dry-setting-spray-1520?productId=pimprod2016690
1026,pimprod2010570,hair,styling products, ,Captain Blankenship,Golden Waves Sea Salt Hair Spray,https://www.ulta.com/golden-waves-sea-salt-hair-spray?productId=pimprod2010570
1027,xlsImpprod14111318,hair,hair color,color care,dpHUE,Color Boosting Gloss + Deep Conditioning Treatment,https://www.ulta.com/color-boosting-gloss-deep-conditioning-treatment?productId=xlsImpprod14111318
1028,xlsImpprod18721107,hair,hair color, ,Madison Reed,Light Works Balayage Highlighting Kit,https://www.ulta.com/light-works-balayage-highlighting-kit?productId=xlsImpprod18721107
1029,xlsImpprod6481017,hair,styling products, ,Redken,Rough Paste 12 Texturizing Hair Paste,https://www.ulta.com/rough-paste-12-texturizing-hair-paste?productId=xlsImpprod6481017
1030,pimprod2005572,hair,styling products, ,IGK,Good Behavior Spirulina Protein Smoothing Spray,https://www.ulta.com/good-behavior-spirulina-protein-smoothing-spray?productId=pimprod2005572
1031,pimprod2016695,hair,travel size, ,PATTERN,Travel Size Strong Hold Gel,https://www.ulta.com/travel-size-strong-hold-gel?productId=pimprod2016695
1032,pimprod2015432,hair,styling products, ,The Mane Choice,Tropical Moringa Sweet Oil & Honey Endless Moisture Restorative Spray,https://www.ulta.com/tropical-moringa-sweet-oil-honey-endless-moisture-restorative-spray?productId=pimprod2015432
1033,pimprod2003345,hair,travel size, ,Redken,Travel Size Frizz Dismiss Anti Static Oil Mist,https://www.ulta.com/travel-size-frizz-dismiss-anti-static-oil-mist?productId=pimprod2003345
1034,pimprod2016450,hair,styling products, ,Curlsmith,Hair Makeup Temporary Color Styling Gel,https://www.ulta.com/hair-makeup-temporary-color-styling-gel?productId=pimprod2016450
1035,xlsImpprod17871157,hair,hair color, ,Punky Colour,3-in-1 Color Depositing Shampoo + Conditioner,https://www.ulta.com/3-in-1-color-depositing-shampoo-conditioner?productId=xlsImpprod17871157
1036,xlsImpprod15541139,hair,hair color, ,Manic Panic,Amplified Semi-Permanent Hair Color,https://www.ulta.com/amplified-semi-permanent-hair-color?productId=xlsImpprod15541139
1037,pimprod2015732,hair,hair color, ,Got 2b,Playful Temporary Hair Chalk,https://www.ulta.com/playful-temporary-hair-chalk?productId=pimprod2015732
1038,xlsImpprod17011005,hair,hair color, ,Brite,Glitter Up Babe,https://www.ulta.com/glitter-up-babe?productId=xlsImpprod17011005
1039,pimprod2005544,hair,styling products, ,IGK,Beach Club Volume Texture Spray,https://www.ulta.com/beach-club-volume-texture-spray?productId=pimprod2005544
1040,pimprod2012519,hair,styling products, ,OUAI,Air Dry Foam,https://www.ulta.com/air-dry-foam?productId=pimprod2012519
1041,pimprod2014050,hair,styling products, ,Sexy Hair,Big Sexy Hair Funraiser Volumizing Dry Texture Spray with Collagen,https://www.ulta.com/big-sexy-hair-funraiser-volumizing-dry-texture-spray-with-collagen?productId=pimprod2014050
