product_id,sku_id,brand,product,url,rating,no_of_reviews,sale,price,offers,options,main_category,sub_category,sub_sub_category,sale_price
pimprod2018283,2568219,Clinique,Moisture Surge Intense 72H Lipid-Replenishing Hydrator,https://www.ulta.com/moisture-surge-intense-72h-lipid-replenishing-hydrator?productId=pimprod2018283,3.70,47,0,$21.00 - $54.00,"Online Only Spend $30 in Clinique, get a Fresh Pressed Recharge System (sku 2560152 or 2560144) for $15 (valid thru 1/30/21)!
						

									Free Gift with Purchase!",3 Sizes,skin care,moisturizers,face moisturizer, 
pimprod2018465,2570472,AG Hair,Hands Free Clean Hand Sanitizer Spray,https://www.ulta.com/hands-free-clean-hand-sanitizer-spray?productId=pimprod2018465,3.50,2,0,$9.99, , ,bath & body,hand & foot care, , 
pimprod2018466,2570473,AG Hair,Hands Free Clean Hand Sanitizer Gel,https://www.ulta.com/hands-free-clean-hand-sanitizer-gel?productId=pimprod2018466,0.0, ,0,$9.99, , ,bath & body,hand & foot care, , 
pimprod2018972,2565730,ULTA,Pumpkin Spice Moisturizing Body Wash,https://www.ulta.com/pumpkin-spice-moisturizing-body-wash?productId=pimprod2018972,4.70,3,0,$4.75, , ,bath & body,ulta collection, , 
pimprod2018973,2565731,ULTA,Iced Pumpkin Moisturizing Body Wash,https://www.ulta.com/iced-pumpkin-moisturizing-body-wash?productId=pimprod2018973,4.50,4,0,$4.75, , ,bath & body,ulta collection, , 
pimprod2018974,2565733,ULTA,Crisp Apple Moisturizing Body Wash,https://www.ulta.com/crisp-apple-moisturizing-body-wash?productId=pimprod2018974,3.80,4,0,$4.75, , ,bath & body,ulta collection, , 
pimprod2018975,2565729,ULTA,Fall Leaves Moisturizing Body Wash,https://www.ulta.com/fall-leaves-moisturizing-body-wash?productId=pimprod2018975,5.00,2,0,$4.75, , ,bath & body,ulta collection, , 
pimprod2018976,2565732,ULTA,Pumpkin Spice Fragrance Body Mist,https://www.ulta.com/pumpkin-spice-fragrance-body-mist?productId=pimprod2018976,3.70,3,0,$4.75, , ,fragrance,women's fragrance,body mist & hair mist, 
pimprod2018978,2565734,ULTA,Pumpkin Spice Moisturizing Body Lotion,https://www.ulta.com/pumpkin-spice-moisturizing-body-lotion?productId=pimprod2018978,4.50,6,0,$4.75, , ,bath & body,ulta collection, , 
pimprod2018979,2565735,ULTA,Iced Pumpkin Moisturizing Body Lotion,https://www.ulta.com/iced-pumpkin-moisturizing-body-lotion?productId=pimprod2018979,5.00,5,0,$4.75, , ,bath & body,ulta collection, , 
pimprod2018980,2565739,ULTA,Iced Pumpkin Fragrance Body Mist,https://www.ulta.com/iced-pumpkin-fragrance-body-mist?productId=pimprod2018980,3.30,4,0,$4.75, , ,fragrance,women's fragrance,body mist & hair mist, 
