extra_id,ulta_id,date,price,options,rating,no_of_reviews,offers,url,product_id
14589,14115,08/13/2020,$12.00,,4.50,188.0,Free Gift with Purchase!,https://www.ulta.com/indian-coconut-nectar-hair-body-mist?productId=xlsImpprod15691525,xlsImpprod15691525
14590,14116,08/13/2020,$10.00,,2.30,4.0,5 for $25!,https://www.ulta.com/sugar-rush-mini-sugar-spritz-body-spray?productId=pimprod2012641,pimprod2012641
14591,14117,08/13/2020,$50.00,,4.30,6.0,Free Gift with Purchase!,https://www.ulta.com/bronze-goddess-shimmering-oil-hair-body-spray?productId=pimprod2006673,pimprod2006673
14592,14118,08/13/2020,$12.00,,4.40,50.0,Free Gift with Purchase!,https://www.ulta.com/beach-lavender-lemon-perfumed-hair-body-mist?productId=pimprod2008252,pimprod2008252
14593,14119,08/13/2020,$9.50,,4.40,44.0,Free Gift with Purchase!,https://www.ulta.com/sugared-vanilla-fragrance-body-mist?productId=xlsImpprod14641119,xlsImpprod14641119
14594,14120,08/13/2020,$5.00,,4.80,75.0,Free Gift with Purchase!,https://www.ulta.com/travel-size-island-vanilla-hair-body-mist?productId=xlsImpprod19081001,xlsImpprod19081001
14595,14121,08/13/2020,$9.50,,4.50,44.0,Free Gift with Purchase!,https://www.ulta.com/brazilian-sunset-fragrance-body-mist?productId=xlsImpprod19771090,xlsImpprod19771090
14596,14122,08/13/2020,$9.50,,4.70,41.0,Free Gift with Purchase!,https://www.ulta.com/blooming-berries-fragrance-body-mist?productId=xlsImpprod14641117,xlsImpprod14641117
14597,14123,08/13/2020,$9.50,,4.40,59.0,Free Gift with Purchase!,https://www.ulta.com/freshwater-mist-fragrance-body-mist?productId=xlsImpprod14641111,xlsImpprod14641111
14598,14124,08/13/2020,$44.00,,4.20,6.0,Free Gift with Purchase!,https://www.ulta.com/body-mist-discovery-collection?productId=pimprod2006437,pimprod2006437
14599,14125,08/13/2020,$12.00,,4.50,80.0,Free Gift with Purchase!,https://www.ulta.com/tahitian-gardenia-hair-body-mist?productId=xlsImpprod15871027,xlsImpprod15871027
14600,14126,08/13/2020,$19.00,,4.40,29.0,,https://www.ulta.com/sugar-rush-sugar-spritz-body-spray?productId=pimprod2004305,pimprod2004305
14601,14127,08/13/2020,$9.50,,4.10,55.0,Free Gift with Purchase!,https://www.ulta.com/coconut-cream-fragrance-body-mist?productId=xlsImpprod14641113,xlsImpprod14641113
14602,14128,08/13/2020,$38.00,,4.50,6.0,Free Gift with Purchase!,https://www.ulta.com/delphine-hair-fragrance-mist?productId=xlsImpprod17151289,xlsImpprod17151289
14603,14129,08/13/2020,$15.00,,0.00,,Free Gift with Purchase!,https://www.ulta.com/coconut-yuzu-hair-body-mist?productId=pimprod2017899,pimprod2017899
14604,14130,08/13/2020,$9.50,,4.10,18.0,Free Gift with Purchase!,https://www.ulta.com/simply-clean-fragrance-mist?productId=xlsImpprod17691223,xlsImpprod17691223
14605,14131,08/13/2020,$12.00,,4.20,49.0,Free Gift with Purchase!,https://www.ulta.com/enchanted-woods-perfumed-hair-body-mist?productId=pimprod2008256,pimprod2008256
14606,14132,08/13/2020,$12.00,,4.70,39.0,Free Gift with Purchase!,https://www.ulta.com/french-lilac-hair-body-mist?productId=pimprod2015705,pimprod2015705
14607,14133,08/13/2020,$8.99,,3.70,6.0,Free Gift with Purchase!,https://www.ulta.com/heavenly-coconut-creme-fragrance-mist?productId=pimprod2007991,pimprod2007991
14608,14134,08/13/2020,$9.50,,4.50,45.0,Free Gift with Purchase!,https://www.ulta.com/pink-sorbet-fragrance-body-mist?productId=xlsImpprod14641115,xlsImpprod14641115
14609,14135,08/13/2020,$9.50,,4.70,44.0,Free Gift with Purchase!,https://www.ulta.com/sweet-grapefruit-fragrance-body-mist?productId=xlsImpprod14641125,xlsImpprod14641125
14610,14136,08/13/2020,$15.00,,1.40,5.0,Free Gift with Purchase!,https://www.ulta.com/apricot-agave-hair-body-mist?productId=pimprod2017895,pimprod2017895
14611,14137,08/13/2020,$68.00,,4.80,21.0,Free Gift with Purchase!,https://www.ulta.com/sofia-isabel-natural-perfume-mist?productId=xlsImpprod16041775,xlsImpprod16041775
14612,14138,08/13/2020,$9.50,,4.20,40.0,Free Gift with Purchase!,https://www.ulta.com/lilac-breeze-fragrance-body-mist?productId=xlsImpprod14641127,xlsImpprod14641127
14613,14139,08/13/2020,$38.00,,5.00,1.0,Free Gift with Purchase!,https://www.ulta.com/harper-hair-fragrance-mist?productId=xlsImpprod17151291,xlsImpprod17151291
14614,14140,08/13/2020,$15.00,,2.00,1.0,Free Gift with Purchase!,https://www.ulta.com/pomegranate-red-berries-hair-body-mist?productId=pimprod2017856,pimprod2017856
14615,14141,08/13/2020,$38.00,,4.30,16.0,Free Gift with Purchase!,https://www.ulta.com/ocean-mist-coconut-water-body-mist?productId=pimprod2003174,pimprod2003174
14616,14142,08/13/2020,$12.00,,4.50,76.0,Free Gift with Purchase!,https://www.ulta.com/hair-body-mist?productId=xlsImpprod17911147,xlsImpprod17911147
14617,14143,08/13/2020,$9.50,,4.50,35.0,Free Gift with Purchase!,https://www.ulta.com/tropical-fruit-fragrance-body-mist?productId=xlsImpprod14641123,xlsImpprod14641123
14618,14144,08/13/2020,$15.00,,0,,Free Gift with Purchase!,https://www.ulta.com/pink-pepper-lychee-hair-body-mist?productId=pimprod2017894,pimprod2017894
14619,14145,08/13/2020,$8.99,,4.00,5.0,Free Gift with Purchase!,https://www.ulta.com/lavender-chamomile-fragance-mist?productId=pimprod2007994,pimprod2007994
14620,14146,08/13/2020,$15.00,,2.80,12.0,,https://www.ulta.com/moon-shower-adaptogenic-spa-mist?productId=pimprod2010509,pimprod2010509
14621,14147,08/13/2020,$38.00,,4.30,11.0,Free Gift with Purchase!,https://www.ulta.com/bamboo-jasmine-body-mist?productId=pimprod2003169,pimprod2003169
