product_id,option,price,sale,available,timestamp
pimprod2026324,Dripping In Sparkle (Bright Pink Shimmer),5.50,0.0,1.0,
pimprod2026324,Handbag Of My Dreams (Coral Neon Creme),5.50,0.0,1.0,
pimprod2026324,More Is More (Light Purple Pearl),5.50,0.0,1.0,
pimprod2025128,All Tie-Dyed Up,9.00,1.0,1.0,
pimprod2025128,Don't Get It Twisted,9.00,1.0,1.0,
pimprod2025128,Give It a Swirl,9.00,1.0,1.0,
pimprod2026327,Berry Best,10.00,0.0,1.0,
pimprod2026327,Final Strech,10.00,0.0,1.0,
pimprod2026327,Punch It Up,10.00,0.0,1.0,
pimprod2026327,Take 10,10.00,0.0,1.0,
pimprod2021011,Light Seeker 2.5 (light with golden undertones),15.00,1.0,1.0,
pimprod2021011,Moondance 3 (medium with neutral peach undertones),15.00,1.0,1.0,
pimprod2021011,Cloud Nine 4.5 (tan with golden honey undertones),15.00,1.0,1.0,
pimprod2021011,Borealis 5.5 (dark with neutral golden undertones),15.00,1.0,1.0,
pimprod2016354,30 ct,4.49,1.0,1.0,
xlsImpprod16041801,,59.99,0.0,1.0,
xlsImpprod16861059,,49.99,0.0,1.0,
pimprod2024409,,16.00,0.0,0.0,
xlsImpprod3590053,0.27 oz,14,0.0,1.0,
xlsImpprod3590053,1.0 oz,39,0.0,1.0,
xlsImpprod10791925,"Calming Fair (very fair, cool-neutral undertones)",31,0.0,1.0,
xlsImpprod10791925,"Calming Alabaster (very fair, cool-neutral undertones)",31,0.0,1.0,
xlsImpprod10791925,"Calming Ivory (very fair, cool-neutral undertones)",31,0.0,1.0,
xlsImpprod10791925,"Calming Neutral (very fair, cool-neutral undertones)",31,0.0,1.0,
xlsImpprod10791925,"Calming Honey (moderately fair, cool-neutral undertones)",31,0.0,1.0,
xlsImpprod10791925,"Calming Vanilla (moderately fair, cool-neutral undertones)",31,0.0,1.0,
xlsImpprod5770263,Transforming Porcelain Beige,35,0.0,1.0,
xlsImpprod5770263,Transforming Light Beige,35,0.0,1.0,
xlsImpprod5770263,Transforming Neutral Beige,35,0.0,1.0,
xlsImpprod12011171,,12,1.0,1.0,
pimprod2012834,Light/Medium,26.99,0.0,1.0,
pimprod2012834,Medium/Dark,26.99,0.0,1.0,
pimprod2022723,Orange Corrector,4.99,1.0,1.0,
pimprod2022723,Yellow Corrector,4.99,1.0,1.0,
pimprod2022723,Green Corrector,4.99,1.0,1.0,
pimprod2022723,Lavender Corrector,4.99,1.0,1.0,
pimprod2022723,Peach Corrector,4.99,1.0,1.0,
pimprod2022723,Light Yellow Corrector,4.99,1.0,1.0,
pimprod2022723,Red Corrector,4.99,1.0,1.0,
pimprod2022723,Mint Corrector,4.99,1.0,1.0,
pimprod2022723,Cool Pink Corrector,4.99,1.0,1.0,
pimprod2022723,Flate White Corrector,4.99,1.0,1.0,
pimprod2022723,Iridescent Corrector,2.49,1.0,1.0,
xlsImpprod3590051,"Apricot (conceals under eye circles, veins, sunspots)",39,0.0,1.0,
xlsImpprod14021283,,45,0.0,1.0,
xlsImpprod11861071,Deep,12,0.0,1.0,
xlsImpprod11861071,Light,12,0.0,1.0,
xlsImpprod11861071,Medium,12,0.0,1.0,
xlsImpprod16211179,Apricot,9.99,0.0,1.0,
xlsImpprod16211179,Green,9.99,1.0,0.0,
xlsImpprod3280313,,13,0.0,1.0,
pimprod2021339,Pink,8.99,1.0,1.0,
pimprod2021339,Peach,8.99,1.0,1.0,
pimprod2021339,Deep Peach,8.99,1.0,0.0,
pimprod2021808,Light to Medium,10,1.0,0.0,
pimprod2021808,Medium to Deep,10,1.0,1.0,
pimprod2024416,Light Peach,10.29,0.0,1.0,
pimprod2024416,Medium Peach,10.29,0.0,1.0,
pimprod2024416,Deep Peach,10.29,0.0,1.0,
xlsImpprod17491097,Universal Light 00,39,0.0,1.0,
xlsImpprod17491097,Rose 01,39,0.0,1.0,
xlsImpprod17491097,Green 04,39,0.0,1.0,
xlsImpprod17491097,Lavender 05,39,0.0,1.0,
pimprod2006895,Green,16.99,0.0,1.0,
pimprod2006895,Peach,16.99,0.0,1.0,
xlsImpprod15451035,,5.99,1.0,1.0,
xlsImpprod15711051,Fairest,4.99,1.0,1.0,
xlsImpprod15711051,Porcelain,4.99,1.0,1.0,
xlsImpprod15711051,Light Ivory,4.99,1.0,1.0,
xlsImpprod15711051,Natural,4.99,1.0,1.0,
xlsImpprod15711051,Creamy Beige,4.99,1.0,1.0,
xlsImpprod15711051,Vanilla,4.99,1.0,1.0,
xlsImpprod15711051,Buff,4.99,1.0,1.0,
xlsImpprod15711051,Nude,4.99,1.0,1.0,
xlsImpprod15711051,Bisque,4.99,1.0,1.0,
xlsImpprod15711051,Pure Beige,4.99,1.0,1.0,
xlsImpprod15711051,Medium Beige,4.99,1.0,1.0,
xlsImpprod15711051,Light Tan,4.99,1.0,1.0,
xlsImpprod15711051,Almond,4.99,1.0,1.0,
xlsImpprod15711051,Cool Tan,4.99,1.0,1.0,
xlsImpprod15711051,Warm Honey,4.99,1.0,1.0,
xlsImpprod15711051,Fawn,4.99,1.0,1.0,
xlsImpprod15711051,Toffee,4.99,1.0,1.0,
xlsImpprod15711051,Beautiful Bronze,4.99,1.0,1.0,
xlsImpprod15711051,Medium Bisque,4.99,1.0,1.0,
xlsImpprod15711051,Warm Sand,4.99,1.0,1.0,
xlsImpprod15711051,Chestnut,4.99,1.0,1.0,
xlsImpprod15711051,Toast,4.99,1.0,1.0,
xlsImpprod15711051,Espresso,4.99,1.0,1.0,
xlsImpprod15711051,Highlighter,4.99,1.0,1.0,
xlsImpprod15711051,Classic Ivory,4.99,1.0,1.0,
xlsImpprod15711051,Cool Nude,4.99,1.0,1.0,
xlsImpprod15711051,Tawny,4.99,1.0,1.0,
xlsImpprod15711051,Dark Cocoa,4.99,1.0,1.0,
xlsImpprod15711051,Mahogany,4.99,1.0,1.0,
xlsImpprod15711051,Suede,4.99,1.0,1.0,
xlsImpprod15711051,Truffle,4.99,1.0,1.0,
pimprod2022032,Cool (red),14,0.0,1.0,
pimprod2022032,Dark (black),14,0.0,1.0,
pimprod2022032,Light (white),14,0.0,1.0,
pimprod2022032,Warm (yellow),14,0.0,1.0,
xlsImpprod16241034,,10.99,1.0,1.0,
pimprod2020359,,16,0.0,1.0,
pimprod2007469,Pure White,29,0.0,0.0,
pimprod2007469,Red,29,0.0,1.0,
xlsImpprod10791855,Light,39.5,0.0,1.0,
xlsImpprod10791855,Light Medium,39.5,0.0,1.0,
xlsImpprod10791855,Medium,39.5,0.0,1.0,
xlsImpprod10791855,Medium Deep,39.5,0.0,1.0,
xlsImpprod4980083,Fair,37,1.0,0.0,
xlsImpprod4980083,Light,37,1.0,1.0,
xlsImpprod4980083,Medium,37,1.0,1.0,
xlsImpprod4980083,Medium Tan,37,1.0,0.0,
xlsImpprod4980083,Tan,37,1.0,1.0,
xlsImpprod4980083,Tan Deep,37,1.0,1.0,
xlsImpprod4980083,Deep,37,1.0,1.0,
xlsImpprod4980083,Rich,37,1.0,1.0,
xlsImpprod5770257,Fair (very fair skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod5770257,Fair Light (fair skin w/ cool pink undertone),39.5,1.0,1.0,
xlsImpprod5770257,Light (light skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod5770257,Light Medium (light to medium skin w/ cool pink undertone),39.5,1.0,1.0,
xlsImpprod5770257,Medium (medium skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod5770257,Neutral Medium (medium skin w/ clean neutral undertone),39.5,1.0,1.0,
xlsImpprod5770257,Medium Tan (medium to tan skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod5770257,Neutral Tan (tan skin w/ clean neutral undertone),39.5,1.0,1.0,
xlsImpprod5770257,Tan (tan skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod5770257,Rich (tan to deep skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod5770257,Rich Honey (deep skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod5770257,Deep (deep skin w/ neutral undertone),39.5,1.0,1.0,
xlsImpprod12251079,Fair (very fair skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod12251079,Fair Light (ivory pink),39.5,1.0,1.0,
xlsImpprod12251079,Light (light skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod12251079,Light Medium (pink beige),39.5,1.0,1.0,
xlsImpprod12251079,Medium (medium skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod12251079,Neutral Medium (natural beige),39.5,1.0,1.0,
xlsImpprod12251079,Medium Tan (medium to tan skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod12251079,Neutral Tan (golden beige),39.5,1.0,0.0,
xlsImpprod12251079,Tan (tan skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod12251079,Rich (tan to deep skin w/ warm yellow undertone),39.5,1.0,1.0,
xlsImpprod12251079,Rich Honey (caramel brown),39.5,1.0,1.0,
xlsImpprod12251079,Deep (deep skin w/ neutral undertone),39.5,1.0,1.0,
pimprod2020783,Fair 120 N,14,1.0,1.0,
pimprod2020783,Fair 140 W,14,1.0,1.0,
pimprod2020783,Fair 150 C,14,1.0,1.0,
pimprod2020783,Light 210 N,14,1.0,1.0,
pimprod2020783,Light 240 W,14,1.0,1.0,
pimprod2020783,Light 280 N,14,1.0,1.0,
pimprod2020783,Medium 310 C,14,1.0,1.0,
pimprod2020783,Medium 330 W,14,1.0,1.0,
pimprod2020783,Medium 375 N,14,1.0,1.0,
pimprod2020783,Tan 415 C,14,1.0,1.0,
pimprod2020783,Tan 425 N,14,1.0,1.0,
pimprod2020783,Deep 500 W,14,1.0,1.0,
pimprod2020783,Deep 540 N,14,1.0,1.0,
pimprod2020783,Deep 560 C,14,1.0,1.0,
pimprod2020783,Rich 620 W,14,1.0,1.0,
pimprod2020783,Rich 660 N,14,1.0,1.0,
