product_id,sku_id,brand,product,url,rating,no_of_reviews,sale,price,main_category,sub_category,sub_sub_category,sale_price,options,offers
pimprod2015263,2564195,Au Naturale,Pure Powder Highlighter,https://www.ulta.com/p/pure-powder-highlighter-pimprod2015263,0.0,,0,$28.00,makeup,face,highlighter,,3 Colors,
pimprod2026962,2587202,Holika Holika,Holi Pop Blur Cream,https://www.ulta.com/p/holi-pop-blur-cream-pimprod2026962,0.0,,0,$8.00,makeup,face,face primer,,,
pimprod2028943,2587304,Wet n Wild,Coloricon Multistick,https://www.ulta.com/p/coloricon-multistick-pimprod2028943,4.30,71,0,$3.99,makeup,eyes,eyeshadow,,3 Colors,
pimprod2009085,2552921,Beauty Bakerie,Spray Your Grace Setting Spray,https://www.ulta.com/p/spray-your-grace-setting-spray-pimprod2009085,3.80,73,0,$18.00,makeup,face,setting spray & powder,,,
pimprod2014935,2565292,UOMA Beauty,Black Magic Carnival Face & Body Bronzing Highlighter,https://www.ulta.com/p/black-magic-carnival-face-body-bronzing-highlighter-pimprod2014935,3.50,4,0,$35.00,makeup,body makeup, ,,2 Colors,
xlsImpprod15971029,2509749,J.Cat Beauty,Mattifying Face Primer,https://www.ulta.com/p/mattifying-face-primer-xlsImpprod15971029,3.70,17,0,$6.99,makeup,face,face primer,,,
pimprod2008720,2545306,Winky Lux,Diamond Powder Foundation,https://www.ulta.com/p/diamond-powder-foundation-pimprod2008720,3.80,12,0,$22.00,makeup,face,foundation,,,
pimprod2027908,2587734,MAC,Step Bright Up Extra Dimension Skinfinish Palette in Light,https://www.ulta.com/p/step-bright-up-extra-dimension-skinfinish-palette-in-light-pimprod2027908,0.0,,0,$39.50,makeup,makeup palettes, ,,,
pimprod2005807,2546544,Elcie Cosmetics,Skin Reflector Highlighter,https://www.ulta.com/p/skin-reflector-highlighter-pimprod2005807,4.60,7,0,$34.00,makeup,face,highlighter,,4 Colors,
pimprod2015181,2565563,VDL,Pantone Collection Boosting Primer,https://www.ulta.com/p/pantone-collection-boosting-primer-pimprod2015181,0.0,,0,$32.00,makeup,face,face primer,,,
pimprod2028577,2586471,Au Naturale,Cheek and Eye Duo,https://www.ulta.com/p/cheek-eye-duo-pimprod2028577,0.0,,0,$38.00,makeup,gifts & value sets, ,,,
pimprod2003918,2541403,MAC,Hyper Real Palette: Shimmy Peach,https://www.ulta.com/p/hyper-real-palette-shimmy-peach-pimprod2003918,4.90,11,0,$40.00,makeup,makeup palettes, ,,,
pimprod2005023,2546292,Wunder2,Caviar Illuminator Cream Highlighter,https://www.ulta.com/p/caviar-illuminator-cream-highlighter-pimprod2005023,4.30,3,0,$29.95,makeup,face,highlighter,,2 Colors,
pimprod2028250,2587735,MAC,Step Bright Up Extra Dimension Skinfinish Palette in Medium/Deep,https://www.ulta.com/p/step-bright-up-extra-dimension-skinfinish-palette-in-mediumdeep-pimprod2028250,0.0,,0,$39.50,makeup,makeup palettes, ,,,
xlsImpprod16241006,2514258,Lottie London,All About That Base Full Coverage Matte Foundation,https://www.ulta.com/p/all-about-that-base-full-coverage-matte-foundation-xlsImpprod16241006,2.70,11,0,$8.99,makeup,face,foundation,,,
xlsImpprod15451053,2506092,J.Cat Beauty,"Spray, Set, Go Setting Spray",https://www.ulta.com/p/spray-set-go-setting-spray-xlsImpprod15451053,3.80,16,0,$7.99,makeup,face,setting spray & powder,,,
xlsImpprod17451093,2520609,NYX Professional Makeup,Total Control Drop Foundation Primer,https://www.ulta.com/p/total-control-drop-foundation-primer-xlsImpprod17451093,4.00,52,0,$17.00,makeup,face,face primer,,,
xlsImpprod17721245,2526414,J.Cat Beauty,Waterproof Makeup Remover,https://www.ulta.com/p/waterproof-makeup-remover-xlsImpprod17721245,4.10,11,0,$5.99,skin care,cleansers, ,,,
pimprod2016793,2566621,Catrice,Sungasm Luminizing Bronzer,https://www.ulta.com/p/sungasm-luminizing-bronzer-pimprod2016793,3.80,5,0,$8.00,makeup,face,bronzer,,,
pimprod2020362,2576111,KIKO Milano,Matte Face Base,https://www.ulta.com/p/matte-face-base-pimprod2020362,4.00,18,0,$16.00,makeup,face,face primer,,,
pimprod2027787,2587619,Holika Holika,Devil's Plumper Hellgate Matte Primer,https://www.ulta.com/p/devils-plumper-hellgate-matte-primer-pimprod2027787,0.0,,0,$14.00,makeup,face,face primer,,,
pimprod2022385,2572103,e.l.f. Cosmetics,Blush & Glow Kit,https://www.ulta.com/p/blush-glow-kit-pimprod2022385,0.0,,0,$14.00,makeup,face,highlighter,,,
pimprod2014254,2564795,J.Cat Beauty,Prime & Glow Face Illuminator Licorice Extract Pink,https://www.ulta.com/p/prime-glow-face-illuminator-licorice-extract-pink-pimprod2014254,4.00,2,0,$7.99,makeup,face,face primer,,,
